numero_cuenta,cliente_id,tipo_cuenta
GB21AYYR904792366366,C00006447,nomina
GB93HLMI694118816768,C00059791,nomina
GB93WLXM125694762974,C00060993,nomina
GB32ERDO371565199865,C00078204,ahorro
GB41ESXJ506745489473,C00016188,chequera
GB19OKLC061719095861,C00046962,nomina
GB37UQPH686780064325,C00094966,dolares
GB07MXPP719853744499,C00047981,chequera
GB44ZKCH873328290974,C00034510,nomina
GB16WFXZ447951835325,C00011136,corriente
GB58NDKQ777257337511,C00090909,dolares
GB69QAEQ340454218313,C00056739,chequera
GB29JVYB855456965398,C00015104,corriente
GB95JUBN240213313466,C00053846,dolares
GB22MGCJ961790336008,C00052319,ahorro
GB48OFLL249697761903,C00061184,chequera
GB79MJHF854812610611,C00001453,dolares
GB71XAGG717581670868,C00045051,nomina
GB74NVBP507892172651,C00067855,ahorro
GB73GIJH706912353080,C00094179,nomina
GB59POTH967497075815,C00024180,chequera
GB62HOXD997667080525,C00013756,corriente
GB73NFIS650474146644,C00034523,chequera
GB09HZEX203400811643,C00033395,corriente
GB75AYTP063400090135,C00028232,nomina
GB03KIUM822058915366,C00020225,ahorro
GB55BMVT992470461818,C00070959,ahorro
GB39USGG173740017172,C00000236,corriente
GB19DPMZ612075576961,C00013608,corriente
GB68CXUF726668182700,C00095312,dolares
GB78KOEJ267602270959,C00032048,ahorro
GB33AZVA645013033969,C00002151,corriente
GB29ZTGN562474245266,C00094507,dolares
GB37MSZZ751304340521,C00078353,ahorro
GB73FWHM289208628387,C00005113,corriente
GB43NEGJ699540332162,C00041673,ahorro
GB36BBMB236640405460,C00031141,chequera
GB09UXIQ535113442836,C00012821,chequera
GB87RTHD590866827303,C00034724,ahorro
GB97FYPG471458888830,C00029700,nomina
GB28CRIP371180886539,C00029406,corriente
GB18UHWE583917338982,C00049148,chequera
GB25INZK702742732100,C00001665,nomina
GB13KFBT013927294651,C00004090,ahorro
GB42VZGJ209239267500,C00000597,ahorro
GB16NHBL383387284105,C00021079,corriente
GB51OAKA876822723987,C00059368,corriente
GB17ANTM921441552176,C00070036,chequera
GB64LGWQ685201788418,C00054943,dolares
GB15YHKE113635676358,C00063761,corriente
GB92SIYJ131377972744,C00011329,corriente
GB15LJAI048794029596,C00061647,nomina
GB27ANJN223509559642,C00053189,chequera
GB19CGHN417194355272,C00040168,nomina
GB24ILQV169997148613,C00070338,nomina
GB21ZQAQ070448280664,C00077103,ahorro
GB25SNCQ495884905928,C00016589,corriente
GB81PCUN904110579161,C00078230,dolares
GB22VVYP532161412573,C00057699,dolares
GB26QFBX017569653756,C00003439,dolares
GB65VPNZ878604427187,C00055734,corriente
GB72XURN154463525452,C00034801,ahorro
GB34LOBM851034537306,C00052036,ahorro
GB20INUO718122908897,C00076995,corriente
GB75HNLY269448140400,C00050945,chequera
GB76OCFA644431064255,C00015921,ahorro
GB74UJTW388813628238,C00042374,nomina
GB26FZGQ009529782140,C00059458,chequera
GB50JXQT645185383103,C00005940,ahorro
GB32XNVH094619901319,C00003088,nomina
GB85FXLH956595302038,C00066547,corriente
GB77TIVK569849399668,C00013511,dolares
GB19BIPD986905626089,C00034937,dolares
GB41WCBZ543251675091,C00081856,dolares
GB02XTKQ211872108306,C00020181,dolares
GB24BSXF461267249380,C00009036,chequera
GB40ZZAK015302694745,C00084335,chequera
GB28AXIV660682499136,C00077262,chequera
GB53AYWK175788433686,C00068703,chequera
GB28NUSN623506045103,C00078725,ahorro
GB13QSUR377553337838,C00099487,chequera
GB70JHWJ122053134192,C00061075,chequera
GB07OBAV899199689506,C00028994,ahorro
GB49TXXK885717884322,C00011315,corriente
GB16MLWA295084189880,C00029880,ahorro
GB81TGTB658429831991,C00047536,corriente
GB27XTWI735192401945,C00052361,dolares
GB51ERSI230344500052,C00076742,nomina
GB15GMBR459245017021,C00042346,nomina
GB95EMZT126617760755,C00097210,chequera
GB44IHJC003538343749,C00035214,chequera
GB75ZFSB985700642965,C00015118,corriente
GB98WJPA828407562859,C00048825,dolares
GB23LEQF972096113695,C00027915,dolares
GB02XOUZ782577776251,C00050111,nomina
GB74MYUO676168053514,C00065078,dolares
GB14QLCY879757026778,C00046699,chequera
GB46KLJL432523958578,C00086015,dolares
GB19XAXG115034401480,C00079345,corriente
GB57UUOV943750151985,C00037915,nomina
GB81MSBY383772600342,C00077996,chequera
GB82YBAM884937830554,C00070068,dolares
GB87YQRH398142995219,C00089667,ahorro
GB51KHAU174029087772,C00071638,corriente
GB58NLSB797635540143,C00078349,nomina
GB74CVFZ530429307378,C00036837,dolares
GB18UCBS834745677014,C00016127,chequera
GB74DOUG573619712448,C00078803,nomina
GB13JSLA528612175816,C00015812,nomina
GB85DCHP710360811788,C00097673,dolares
GB77AJAQ717530504286,C00068484,dolares
GB30SCZU019856229062,C00042053,chequera
GB71XRHE176279300582,C00058038,nomina
GB28WHGQ237905424200,C00081980,dolares
GB19KPRS860840245821,C00019384,chequera
GB05JRTL082214330724,C00059672,ahorro
GB12BUHN329464555463,C00032880,nomina
GB06IPUH656765844523,C00078572,ahorro
GB02GFMX728045323741,C00098542,ahorro
GB24CKOH307616069906,C00067147,dolares
GB77BBRR349346965045,C00069420,nomina
GB52PKDR722985556192,C00071793,dolares
GB53SYWA521096063076,C00067971,nomina
GB31DUME572239858594,C00007641,ahorro
GB10FAMS423477512324,C00012746,nomina
GB97DNBO112896667274,C00077873,ahorro
GB89YOIH235868272742,C00061535,dolares
GB73UJKS612588980075,C00020229,corriente
GB54IGDO015993502736,C00031228,chequera
GB12ZDEE592984688923,C00018990,chequera
GB86ENES398282435105,C00054354,corriente
GB72LVAN328673985053,C00078606,dolares
GB48AYNH131346929950,C00000666,nomina
GB88DJII825356737259,C00019893,dolares
GB03OYGR515249127187,C00030991,chequera
GB74NSHF113859820267,C00095637,nomina
GB16GLCE579117058224,C00089246,chequera
GB79ZCVE261723407176,C00023185,ahorro
GB12JGOS308721107961,C00053393,ahorro
GB81OSTX874771400242,C00099274,chequera
GB62MUEQ562793374708,C00030901,chequera
GB83ONKZ754348059680,C00053718,chequera
GB80QLSV531835730477,C00012382,ahorro
GB49VSQH840415034482,C00090733,ahorro
GB12COEX195577836194,C00028488,dolares
GB04BVMU495829905444,C00007586,nomina
GB26PWOL448824063349,C00048600,corriente
GB41PXHZ678437092460,C00006334,nomina
GB85FREF156744547395,C00014785,nomina
GB33MSMD371186546644,C00057766,ahorro
GB54OVLH814956430952,C00002006,chequera
GB73BSSG796532945567,C00029961,ahorro
GB57QCOL695837042832,C00061199,dolares
GB57ZRES121529109883,C00040473,nomina
GB20SVJN757116721731,C00069073,chequera
GB41YXOK922875900701,C00087505,nomina
GB60PNOW484885769057,C00059604,corriente
GB55PCJA321660251818,C00087186,nomina
GB40WUBY836200191988,C00047408,nomina
GB96VGIH938248389011,C00085098,dolares
GB46PPRQ275892763220,C00025788,corriente
GB72DWBB474099940020,C00055116,dolares
GB46DMJP219592351654,C00033161,ahorro
GB61ISGK320536044085,C00063971,chequera
GB62CZBH231308530529,C00093000,nomina
GB56LMRN521901048175,C00058140,dolares
GB39EYXX632015099819,C00037759,chequera
GB43XQFJ834372588836,C00074918,dolares
GB81CGFO686210066903,C00024018,corriente
GB92AGPL809849857540,C00087535,chequera
GB46WSKZ846603635662,C00074912,dolares
GB22GJPI332318303498,C00004548,ahorro
GB72ZYJG812354202404,C00053969,dolares
GB96VEJZ583738563097,C00058370,dolares
GB27RWTK139433446531,C00030515,ahorro
GB60QBWN896285820744,C00025617,ahorro
GB56UQPM420270625099,C00036361,dolares
GB20ZOVN133254796308,C00028521,chequera
GB59VMGM726894194900,C00072266,chequera
GB95BRCD761299982324,C00069450,corriente
GB40MHEI086274832903,C00099751,corriente
GB04REGV538132794058,C00068282,nomina
GB18WKJS123024844935,C00003731,chequera
GB45AGSB678204355321,C00014650,corriente
GB40BUPG552561943976,C00007962,dolares
GB20IZEQ782234246877,C00059512,ahorro
GB41WQTB291054533470,C00037853,chequera
GB04LIAN473970266663,C00015366,ahorro
GB05ZDML631154337727,C00096422,ahorro
GB62PNZE327802292351,C00022882,corriente
GB11BUNW084212993753,C00002577,corriente
GB60BUVL592631536671,C00064738,nomina
GB50BUMD700954676481,C00050344,ahorro
GB06CUJX794584212032,C00066429,corriente
GB47XMBJ194792401419,C00093606,ahorro
GB06WXGM035869543270,C00038788,dolares
GB42EIGT855937887982,C00034320,chequera
GB48YZET196221158064,C00015191,ahorro
GB85CTRR770130170919,C00088289,dolares
GB40PXLP996718465772,C00082804,dolares
GB93NAKL837471470158,C00078468,chequera
GB92VVUB995218203397,C00054983,nomina
GB35WHLN527121824301,C00048151,ahorro
GB38HBEP295274589209,C00071573,nomina
GB88DVOP489556125643,C00012218,nomina
GB59OJMO393518720940,C00017226,ahorro
GB59ABUU038063381986,C00003975,chequera
GB19SIRB902904483730,C00071616,corriente
GB92SPJC512039028551,C00065864,nomina
GB23CYRB156835300658,C00097364,ahorro
GB72QMMY758986731241,C00024836,corriente
GB86CTCK538776365083,C00004876,dolares
GB45TAEI494289129199,C00084180,corriente
GB28FQVA073314750246,C00008798,ahorro
GB30NYUD942298659278,C00026040,nomina
GB57NDHL658812467172,C00032626,chequera
GB19RXNH818078397020,C00032731,dolares
GB14GBXE281394799671,C00043750,corriente
GB29AEUY023992144634,C00096923,dolares
GB93WBAJ848796754518,C00023462,corriente
GB35NICI849873185333,C00062693,ahorro
GB64TURH487506068563,C00045492,nomina
GB53IIVV138745502871,C00042444,corriente
GB46QWDQ175826139929,C00064301,corriente
GB91VJPM818596530956,C00090294,chequera
GB26GFAS873240724927,C00039501,dolares
GB73KLCG316234555907,C00038457,dolares
GB41DRNO980778624807,C00090341,nomina
GB15RUYY622920264368,C00094508,dolares
GB02BPXV519386105923,C00032368,dolares
GB07JFMF720874997120,C00056969,chequera
GB09BXWY088788310657,C00025418,ahorro
GB61XESU145151832857,C00089033,corriente
GB20FYSY171559958111,C00099318,nomina
GB38GMIJ442278066848,C00085606,nomina
GB45MGUL743548330376,C00077223,corriente
GB19WKJP536897974185,C00015263,chequera
GB34EUQK925585769041,C00007979,dolares
GB37NFNM594802297827,C00079044,corriente
GB03JXYZ392057417110,C00032246,dolares
GB03EYPB276712702212,C00032303,corriente
GB10UHHH450478487449,C00041213,dolares
GB09KVEK438721505663,C00089967,corriente
GB49BUQV236538843357,C00067076,corriente
GB09TDUK835363442296,C00065473,dolares
GB62XMYE867957137849,C00077542,chequera
GB87URCW412452863927,C00044114,nomina
GB34ECSJ585031457028,C00099406,corriente
GB88QNPE633479740953,C00067115,ahorro
GB39OPVE588208117314,C00027250,dolares
GB94ZCRD957347785688,C00051403,chequera
GB26XAQE300660393147,C00072362,nomina
GB30VSHJ131660463887,C00072080,dolares
GB23CGCE844263152479,C00048713,corriente
GB36FNIH698993574910,C00087021,ahorro
GB93UYZG835836763667,C00032573,nomina
GB19ZKKJ714002635849,C00035078,nomina
GB21FBYF863629429789,C00064587,chequera
GB36XREN731265061526,C00062180,ahorro
GB33DKCH749042767852,C00057012,chequera
GB56ASDI428797215320,C00078169,nomina
GB83YMLY044587416633,C00099563,nomina
GB50TINE002676776187,C00007263,ahorro
GB68BDTM181462547472,C00048896,dolares
GB97NAWF024283364036,C00061673,dolares
GB76TPDR231402046668,C00078487,ahorro
GB14XGPB094338855355,C00088639,nomina
GB81YXUZ516315972236,C00050555,corriente
GB38YWCG931488946497,C00027321,nomina
GB78IQYW374089177237,C00014177,corriente
GB21DFIH079871537791,C00089139,nomina
GB91GORL332280170915,C00051293,corriente
GB32FRWC861505687695,C00036948,chequera
GB73MBXS179890944623,C00023239,dolares
GB13TSPA251803677871,C00085634,dolares
GB45UJKF297388879478,C00091194,corriente
GB58CPJW491737766110,C00086450,chequera
GB06TQKV079335749899,C00063732,chequera
GB98LEZJ847090998101,C00093891,chequera
GB86BWJL563548408087,C00010316,ahorro
GB91SDCG006527376997,C00070085,dolares
GB40PKHV431947446366,C00070674,dolares
GB91JNWO074764382760,C00060119,ahorro
GB09WUVT286657404958,C00022271,dolares
GB54QFFU714054494000,C00012873,ahorro
GB75IMUG166047281246,C00009939,chequera
GB93MXMY525883846973,C00046934,nomina
GB52NFQT440005609660,C00009028,dolares
GB53CBFZ771290720296,C00072231,corriente
GB90EUZC748844166850,C00048136,corriente
GB07CPXC152888099572,C00072208,chequera
GB17FGHS210875841571,C00088782,dolares
GB39LIRU752354626095,C00068256,corriente
GB44MAJC422656317128,C00047498,nomina
GB03NPHN040005293501,C00087076,nomina
GB45NOUQ430944265986,C00054702,chequera
GB33KWHT986459692574,C00064075,nomina
GB90XIVZ718796618904,C00038835,dolares
GB65AJFR196315149577,C00093704,corriente
GB25HTDU009576697739,C00093726,nomina
GB05MEKO418709047763,C00068291,corriente
GB09OEAG877915845453,C00019124,nomina
GB66MFLJ922916200694,C00093039,ahorro
GB84JGKF168411988999,C00097587,dolares
GB20IZOL443578815858,C00019837,chequera
GB85AXMC896710315338,C00067033,nomina
GB51UIXH799473912345,C00022173,dolares
GB35FTCD152715774571,C00078015,nomina
GB64TCCW674627003830,C00025984,chequera
GB33JYFH910228904119,C00078770,dolares
GB92EATB032723372511,C00095862,nomina
GB41PAQZ712318397220,C00011645,ahorro
GB07LXKZ134442076305,C00010180,corriente
GB42NGAZ165745311790,C00094080,nomina
GB81MRTC784823364958,C00036797,dolares
GB81NGRN516811351351,C00065190,corriente
GB30VFIZ076234256382,C00051607,corriente
GB89ZFDY739332115634,C00025011,ahorro
GB23IGPH402250670291,C00034726,nomina
GB02BYFB460106819431,C00076122,corriente
GB42JYTD595011414365,C00054491,ahorro
GB47OBEZ958710202936,C00051422,nomina
GB74ICVY314933750650,C00066767,ahorro
GB44DTPX797140175427,C00017790,chequera
